name,file,url
Крылья баффоло,krylya baffolo.jpg,https://media.dodostatic.com/image/r:520x520/01954d61ce0c70538d5621c2acfafd31.jpg
Стрипсы,stripsy.jpg,https://media.dodostatic.com/image/r:520x520/01954d4ec1f67560a28cb10730ec1a36.jpg
Наггетсы,naggetsy.jpg,https://media.dodostatic.com/image/r:520x520/01954d626fd67045be5f0051ed4c3c2a.jpg
Куриный попкорн,kurinyy popkorn.jpg,https://media.dodostatic.com/image/r:520x520/01954d4f959977419a4ef62e033fd90a.jpg
Сырные палочки,syrnye palochki.jpg,https://media.dodostatic.com/image/r:520x520/01954d4fe99e76368197af270370af0b.jpg
Сырные шарики,syrnye shariki.jpg,https://media.dodostatic.com/image/r:520x520/01954d507162707cafc6c03d7ac46c9e.jpg
Чесночный соус,chesnochnyy sous.jpg,https://media.dodostatic.com/image/r:520x520/01954d5635497322bc52562a4ea59443.jpg
Соус сырный,sous syrnyy.jpg,https://media.dodostatic.com/image/r:520x520/01954d568a0375dcb73c4ea921e608d6.jpg
Соус томатный кетчуп,sous tomatnyy ketchup.jpg,https://media.dodostatic.com/image/r:520x520/01954d56f554707d8b66e1b94260ffaf.jpg
Чизкейк Нью-Йорк,chizkeyk nyuyork.jpg,https://media.dodostatic.com/image/r:520x520/01954d37ea2071a9baaa3a4fedcfcd5b.jpg
Чизкейк вишня и шоколад,chizkeyk vishnya i shokolad.jpg,https://media.dodostatic.com/image/r:520x520/01954d383e8f743b97ff6e7b14074efa.jpg
Чизкейк ассорти микс,chizkeyk assorti miks.jpg,https://media.dodostatic.com/image/r:520x520/01954d38a1d778f88a3b47f604a3464c.jpg
Круассан классический,kruassan klassicheskiy.jpg,https://media.dodostatic.com/image/r:520x520/019583f70643716ebe0044de6a8ae7f4.jpg
Круассан с Орехово -шоколадным вкусом,kruassan s orehovo shokoladnym vkusom.jpg,https://media.dodostatic.com/image/r:520x520/019583f95e9872aab3d84e3571d1bf95.jpg
Морс брусничный,mors brusnichnyy.jpg,https://media.dodostatic.com/image/r:520x520/0195524a41b5751bae72d1a6953b814e.jpg
Облепиховый морс,oblepihovyy mors.jpg,https://media.dodostatic.com/image/r:520x520/01955f4c0ab2765ebdac7e63a4214e5c.jpg
Компот из сухофруктов,kompot iz suhofruktov.jpg,https://media.dodostatic.com/image/r:520x520/019585ac9f6f71499f2e35e1e2886429.jpg
Морс Облепиховый,mors oblepihovyy.jpg,https://media.dodostatic.com/image/r:520x520/019585aa2d7a782fa99cad09a5d72ac2.jpg
Компот из сухофруктов,kompot iz suhofruktov_2.jpg,https://media.dodostatic.com/image/r:520x520/019585ad779e78d29aea74f399d04e64.jpg
Морс брусничный,mors brusnichnyy_2.jpg,https://media.dodostatic.com/image/r:520x520/01959fa0506570d19e8ad2db353dd234.jpg
Чай с горными травами,chay s gornymi travami.jpg,https://media.dodostatic.com/image/r:520x520/019585b75f7175eda0e5e7ce453ba902.jpg
Чай с чабрецом,chay s chabrecom.jpg,https://media.dodostatic.com/image/r:520x520/019585bd09f378d6aa2ae47596f83242.jpg
Чай из натуральных фруктов и ягод,chay iz naturalnyh fruktov i yagod.jpg,https://media.dodostatic.com/image/r:520x520/01961882ddcf740fa3f48545c6b75bfa.jpg
Чай зеленый с добавками растительного сырья,chay zelenyy s dobavkami rastitelnogo syrya.jpg,https://media.dodostatic.com/image/r:520x520/01961888d3b5757aa53e68c67ed70edb.jpg
Армянский кофе,armyanskiy kofe.jpg,https://media.dodostatic.com/image/r:520x520/019690dbd94376368398ebaf6c2b94c0.jpg
Чай Бейлис,chay beylis.jpg,https://media.dodostatic.com/image/r:520x520/01993cf9137772cf889506f6535f7200.jpg
Чай Сладкая Груша,chay sladkaya grusha.jpg,https://media.dodostatic.com/image/r:520x520/01993cf95e8c72b8bd8acf66de52e028.jpg
Чай черный Сказка леса,chay chernyy skazka lesa.jpg,https://media.dodostatic.com/image/r:520x520/01993cf991a87568ba6bdcc260f6bc62.jpg
Чай черный Манго-Маракуйя,chay chernyy mangomarakuyya.jpg,https://media.dodostatic.com/image/r:520x520/01993cfae9db7227b7eea743740ec741.jpg
